,entity_label,entity_text
0,PERSON,Scott Hensley
0,ORG,Pfizer
0,PERSON,Paxlovid
0,EVENT,COVID-19
0,PERSON,David Dee Delgado/
0,ORG,Pfizer
0,PERSON,Paxlovid
0,EVENT,COVID-19
0,EVENT,COVID-19
0,ORG,Pfizer
0,EVENT,COVID-19
0,PERSON,Patrizia Cavazzoni
0,EVENT,COVID-19
0,EVENT,COVID-19
0,ORG,Pfizer
0,EVENT,COVID-19
0,PERSON,Paxlovid
0,PERSON,Paxlovid
0,ORG,Pfizer
0,PERSON,Ridgeback Biotherapeutics
0,PERSON,Joe Biden
0,PERSON,Patrick Semansky
0,PERSON,Joe Biden
0,PERSON,Biden
0,EVENT,COVID-19
0,PERSON,Biden
0,PERSON,Biden
0,PERSON,Biden
0,PERSON,Biden
0,PERSON,Biden
0,PERSON,Biden
0,PERSON,Biden
0,PERSON,Beau
0,PERSON,Jen Psaki
0,PERSON,Joe Hernandez
0,PERSON,Robyn Beck
0,PERSON,Getty Images
0,PERSON,Michael V. Drake
0,EVENT,COVID-19
0,PERSON,Biden
0,EVENT,COVID-19
0,PERSON,Rob Stein
0,EVENT,COVID-19
0,PERSON,Marta Lavandier
0,EVENT,COVID-19
0,PERSON,Natalie Dean
0,PERSON,Justin Lessler
0,PERSON,Lessler
0,EVENT,Omicron
0,PERSON,Lessler
0,PERSON,Chris Murray
0,PERSON,Biden
0,PERSON,John Helton
0,PERSON,Biden
0,EVENT,COVID-19
0,PERSON,Biden
0,EVENT,COVID-19
0,PERSON,Joe Biden
0,EVENT,COVID-19
0,PERSON,Evan Vucci
0,PERSON,Robyn Beck
0,PERSON,Getty Images
0,PERSON,Tedros Adhanom Ghebreyesus
0,PERSON,Coffrini
0,PERSON,Getty Images
0,EVENT,COVID-19
0,EVENT,COVID-19
0,ORG,Pfizer
0,PERSON,Paxlovid
0,EVENT,COVID-19
0,PERSON,David Dee Delgado/
0,ORG,Pfizer
0,EVENT,COVID-19
0,EVENT,COVID-19
0,PERSON,Marta Lavandier
0,PERSON,Greenwood Cemetery
0,EVENT,COVID-19
0,PERSON,Latinos
0,PERSON,Joe Biden
0,PERSON,Patrick Semansky
0,PERSON,Ed Jones
0,PERSON,Getty Images
0,ORG,Moderna
0,PERSON,Ethan Miller
0,PERSON,Getty Images
0,PERSON,Francis Collins
0,PERSON,Collins
0,PERSON,Sarah Silbiger
0,PERSON,Francis Collins
0,PERSON,Scott Detrow
0,PERSON,Shane Wilson
0,PERSON,Wilson
0,PERSON,Scott Detrow
0,PERSON,Marisa Ingemi
0,PERSON,Francis Collins
0,PERSON,D.C. Collins'
0,PERSON,Sarah Silbiger
0,PERSON,Scott Simon
0,PERSON,Jesse Rincones
0,PERSON,Kena Betancur
0,PERSON,Getty Images
0,PERSON,Mary Louise Kelly
0,PERSON,Ashish Jha
0,PERSON,Samuel Corum
0,PERSON,Lloyd Austin
0,PERSON,Alex Brandon
1,ORG,the Food and Drug Administration
1,ORG,the Food and Drug Administration
1,ORG,the Food and Drug Administration
1,ORG,FDA
1,ORG,Center for Drug Evaluation and Research
1,ORG,FDA
1,ORG,Merck
1,ORG,Merck
1,ORG,Merck
1,ORG,Merck
1,ORG,FDA
1,ORG,FDA
1,ORG,NPR
1,ORG,NPR
1,ORG,AP
1,ORG,the White House
1,ORG,PCR
1,ORG,White House
1,ORG,The White House
1,ORG,The White House
1,ORG,White House
1,ORG,White House
1,ORG,NPR
1,ORG,NPR
1,ORG,University of California at Los Angeles
1,ORG,UCLA
1,ORG,University of California at Los Angeles
1,ORG,UCLA
1,ORG,the University of California
1,ORG,University of California
1,ORG,Stanford University
1,ORG,Harvard University
1,ORG,University of Illinois Urbana-Champaign
1,ORG,Kean University
1,ORG,Northwestern University
1,ORG,Oberlin College
1,ORG,NPR
1,ORG,NPR
1,ORG,Nomi Health
1,ORG,Nomi Health
1,ORG,the University of Washington
1,ORG,Emory University
1,ORG,NPR
1,ORG,the University of North Carolina
1,ORG,NPR
1,ORG,the university's Institute for Health Metrics and Evaluation
1,ORG,NPR
1,ORG,NPR
1,ORG,NPR
1,ORG,the National Institutes of Health
1,ORG,AP
1,ORG,World Health Organization
1,ORG,WHO
1,ORG,AFP
1,ORG,Tedros Adhanom Ghebreyesus
1,ORG,WHO
1,ORG,CDC
1,ORG,NPR
1,ORG,the Food and Drug Administration
1,ORG,the Food and Drug Administration
1,ORG,Nomi Health
1,ORG,University of Washington
1,ORG,Naming the Lost Memorials
1,ORG,Platt/Getty Images
1,ORG,the White House
1,ORG,AP
1,ORG,CDC
1,ORG,FDA
1,ORG,the Seattle Seahawks
1,ORG,the Las Vegas Raiders
1,ORG,NIH
1,ORG,Senate
1,ORG,NIH
1,ORG,NIH
1,EVENT,Omicron
1,ORG,Scotland County Hospital
1,ORG,NPR
1,ORG,Seattle Times
1,ORG,NHL
1,ORG,NIH
1,ORG,Senate
1,ORG,Capitol Hill
1,ORG,NPR
1,ORG,Brown University School of Public Health
1,ORG,Defense
1,ORG,Pentagon
1,ORG,Army
1,ORG,London Middle School
1,ORG,NPR
1,ORG,NPR
2,DATE,Wednesday
2,DATE,Wednesday
2,DATE,five days
2,DATE,Today
2,DATE,three days
2,DATE,five days
2,DATE,the end of the year
2,DATE,five days
2,DATE,the end of the month
2,DATE,a couple of days
2,DATE,Wednesday
2,DATE,Wednesday
2,DATE,Friday
2,DATE,Monday
2,DATE,Sunday
2,DATE,Sunday
2,DATE,Monday
2,DATE,Wednesday
2,DATE,the day
2,DATE,Thanksgiving
2,DATE,October
2,DATE,March 2020
2,DATE,March 2020
2,DATE,the new year
2,DATE,the holidays
2,DATE,the first two weeks
2,DATE,winter quarter
2,DATE,the new year
2,DATE,the coming weeks
2,DATE,early next year
2,DATE,14 days
2,DATE,Tuesday
2,DATE,Tuesday
2,DATE,the end of January
2,DATE,about six weeks
2,DATE,every day
2,DATE,last winter's
2,DATE,the next three months
2,DATE,the entire two years
2,DATE,mid-January
2,DATE,daily
2,DATE,Tuesday
2,DATE,Monday
2,DATE,Tuesday
2,DATE,Monday
2,DATE,Tuesday
2,DATE,this winter
2,DATE,"Dec. 2, 2021"
2,DATE,"December 2, 2021"
2,DATE,this winter
2,DATE,Tuesday
2,DATE,Thursday
2,DATE,"December 2, 2021"
2,DATE,Thursday
2,DATE,one day
2,DATE,Oct. 18
2,DATE,"December 1, 2021"
2,DATE,Wednesday
2,DATE,"December 22, 2021"
2,DATE,Tuesday
2,DATE,"December 22, 2021"
2,DATE,about six weeks
2,DATE,June 8
2,DATE,"December 22, 2021"
2,DATE,nearly two years
2,DATE,2020
2,DATE,the year before
2,DATE,Tuesday
2,DATE,"December 21, 2021"
2,DATE,January
2,DATE,Monday
2,DATE,"December 20, 2021"
2,DATE,a week
2,DATE,"December 20, 2021"
2,DATE,Dec. 13
2,DATE,"December 20, 2021"
2,DATE,Aug. 14
2,DATE,"December 19, 2021"
2,DATE,"December 19, 2021"
2,DATE,"December 19, 2021"
2,DATE,Dec. 2020
2,DATE,"December 19, 2021"
2,DATE,May
2,DATE,Sunday
2,DATE,"December 19, 2021"
2,DATE,12 years
2,DATE,"December 18, 2021"
2,DATE,just weeks
2,DATE,"December 18, 2021"
2,DATE,"December 18, 2021"
2,DATE,"December 18, 2021"
2,DATE,this December to March 2020
2,DATE,"December 18, 2021"
2,DATE,Dec. 3
2,DATE,"December 17, 2021"
2,DATE,January
2,DATE,last month
2,DATE,"December 17, 2021"
2,DATE,months
2,DATE,the new year
2,DATE,5 to 11 years old
2,DATE,last month
2,DATE,"December 17, 2021"
2,DATE,6 months old
3,ORDINAL,first
3,ORDINAL,second
3,ORDINAL,first
3,ORDINAL,first
3,ORDINAL,second
3,ORDINAL,third
3,ORDINAL,first
3,ORDINAL,first
3,ORDINAL,first
3,ORDINAL,first
3,ORDINAL,third
4,CARDINAL,"more than 2,200"
4,CARDINAL,several hundred
4,CARDINAL,10 million
4,CARDINAL,"180,000"
4,CARDINAL,10 million
4,CARDINAL,hundreds
4,CARDINAL,seven
4,CARDINAL,"more than 400,000"
4,CARDINAL,"250,000"
4,CARDINAL,3 billion
4,CARDINAL,35 million
4,CARDINAL,six
4,CARDINAL,more than 4 million
4,CARDINAL,"more than 400,000"
4,CARDINAL,50
4,CARDINAL,"surpasses 800,000"
4,CARDINAL,"2,700"
5,PERCENT,89%
5,PERCENT,88%
5,PERCENT,70%
5,PERCENT,30%
5,PERCENT,12.6%
5,PERCENT,73.2%
6,MONEY,$5.3 billion
7,EVENT,COVID-19
7,EVENT,COVID-19
7,PRODUCT,Air Force One
7,PRODUCT,K-12
7,EVENT,COVID-19
7,EVENT,COVID-19
8,FAC,the White House
8,FAC,the White House
8,FAC,LaGuardia Airport
8,FAC,Times Square
8,FAC,Times Square
8,FAC,Allegiant Stadium
8,FAC,Broadway
9,GPE,Nantucket
9,GPE,Los Angeles
9,GPE,Los Angeles
9,GPE,UC
9,GPE,North Miami
9,GPE,Fla.
9,GPE,U.S.
9,GPE,North Miami
9,GPE,Fla.
9,GPE,U.S.
9,GPE,U.S.
9,GPE,Chapel Hill
9,GPE,U.S.
9,GPE,Bethesda
9,GPE,Md.
9,GPE,New York City
9,GPE,Minnesota
9,GPE,U.S.
9,GPE,Colorado
9,GPE,Colorado
9,GPE,Hawaii
9,GPE,Minnesota
9,GPE,New York
9,GPE,U.S.
9,GPE,California
9,GPE,Geneva
9,GPE,U.S.
9,GPE,U.S.
9,GPE,North Miami
9,GPE,Fla.
9,GPE,U.S.
9,GPE,U.S.
9,GPE,New York City
9,GPE,U.S.
9,GPE,New York's
9,GPE,U.S.
9,GPE,New York
9,GPE,Las Vegas
9,GPE,Missouri
9,GPE,Washington
9,GPE,U.S.
9,GPE,U.K.
9,GPE,Missouri
9,GPE,San Antonio
9,GPE,New York City
9,GPE,Washington
9,GPE,D.C.
9,GPE,the United States
9,GPE,Wheeling
9,GPE,Ill.
9,GPE,BioNTech
9,GPE,U.S.
10,EVENT,the New Year
11,NORP,Americans
11,NORP,Americans
12,QUANTITY,a half-billion
12,QUANTITY,37-fold
